"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"29-Nov-2019","       13.9875","       14.2925","       13.1400","       13.8975","       13.9875","       -0.0900","  -0.64"
"02-Dec-2019","       13.8975","       15.8450","       13.4975","       14.2025","       13.8975","        0.3100","   2.19"
"03-Dec-2019","       14.2025","       16.3425","       12.0700","       14.5625","       14.2025","        0.3600","   2.53"
"04-Dec-2019","       14.5625","       15.8725","       12.2625","       13.3225","       14.5625","       -1.2400","  -8.52"
"05-Dec-2019","       13.3225","       15.1200","       12.8275","       14.3050","       13.3225","        0.9800","   7.37"
"06-Dec-2019","       14.3050","       14.7225","       11.4075","       13.6400","       14.3050","       -0.6700","  -4.65"
"09-Dec-2019","       13.6400","       15.3625","       12.4650","       14.5975","       13.6400","        0.9600","   7.02"
"10-Dec-2019","       14.5975","       15.6625","       11.7350","       14.2900","       14.5975","       -0.3100","  -2.11"
"11-Dec-2019","       14.2900","       14.4475","       11.7100","       13.3775","       14.2900","       -0.9100","  -6.39"
"12-Dec-2019","       13.3775","       13.7650","       11.8250","       13.3475","       13.3775","       -0.0300","  -0.22"
"13-Dec-2019","       13.3475","       14.6700","       12.1850","       13.3000","       13.3475","       -0.0500","  -0.36"
"16-Dec-2019","       13.3000","       14.1100","       12.5000","       13.4150","       13.3000","        0.1200","   0.86"
"17-Dec-2019","       13.4150","       13.4250","       11.9550","       12.5175","       13.4150","       -0.9000","  -6.69"
"18-Dec-2019","       12.5175","       12.7150","       11.3900","       12.3375","       12.5175","       -0.1800","  -1.44"
"19-Dec-2019","       12.3375","       12.4150","       11.3250","       12.1225","       12.3375","       -0.2200","  -1.74"
"20-Dec-2019","       12.1225","       12.7325","       11.9025","       12.3250","       12.1225","        0.2000","   1.67"
"23-Dec-2019","       12.3250","       14.5050","       10.6950","       11.9575","       12.3250","       -0.3700","  -2.98"
"24-Dec-2019","       11.9575","       13.3100","       10.8875","       11.6250","       11.9575","       -0.3300","  -2.78"
"26-Dec-2019","       11.6250","       12.3475","       10.8425","       11.1225","       11.6250","       -0.5000","  -4.32"
"27-Dec-2019","       11.1225","       11.4675","       10.4250","       10.5250","       11.1225","       -0.6000","  -5.37"
"30-Dec-2019","       10.5250","       11.4525","        9.6175","       11.0075","       10.5250","        0.4800","   4.58"
"31-Dec-2019","       11.0075","       11.7925","       10.4400","       11.6675","       11.0075","        0.6600","   6.00"
"01-Jan-2020","       11.6675","       11.7300","       11.0850","       11.5975","       11.6675","       -0.0700","  -0.60"
"02-Jan-2020","       11.5975","       11.7000","       10.7300","       11.4900","       11.5975","       -0.1100","  -0.93"
"03-Jan-2020","       11.4900","       12.9400","       10.6850","       12.6950","       11.4900","        1.2100","  10.49"
"06-Jan-2020","       12.6950","       15.0950","       12.6950","       14.7775","       12.6950","        2.0800","  16.40"
"07-Jan-2020","       14.7775","       14.9125","       14.4625","       14.6100","       14.7775","       -0.1700","  -1.13"
"08-Jan-2020","       14.6100","       16.3875","       13.7925","       15.6400","       14.6100","        1.0300","   7.05"
"09-Jan-2020","       15.6400","       15.6400","       12.9950","       13.9975","       15.6400","       -1.6400"," -10.50"
"10-Jan-2020","       13.9975","       14.2450","       13.1775","       14.0775","       13.9975","        0.0800","   0.57"
"13-Jan-2020","       14.0775","       14.4950","       13.5775","       14.2750","       14.0775","        0.2000","   1.40"
"14-Jan-2020","       14.2750","       14.2750","       13.0625","       13.9125","       14.2750","       -0.3600","  -2.54"
