Date,Open,High,Low,Close,Adj Close,Volume
11/5/2015,87.949997,87.949997,85.400002,85.400002,83.091896,4
11/6/2015,82.800003,82.879997,81.18,82,79.783783,3512
11/9/2015,82,82,80.75,81.699997,79.49189,909
11/10/2015,86.949997,86.949997,84.449997,84.449997,82.167564,12
11/13/2015,81,81,80.050003,80.300003,78.12973,2590
11/16/2015,80,80.989998,78.25,80.989998,78.801079,302
11/17/2015,81.099998,81.260002,80.75,80.75,78.567566,622
11/18/2015,78.800003,83.699997,76.699997,83.199997,80.951347,150
11/19/2015,79,79,79,79,76.864868,8
11/20/2015,81.099998,81.809998,81,81.010002,78.820541,1234
11/23/2015,89.900002,89.900002,85.900002,85.900002,83.578384,10
11/24/2015,82.980003,82.980003,79.5,79.610001,77.458382,1058
11/26/2015,82.400002,82.400002,81.480003,81.480003,79.27784,169
11/27/2015,79.019997,82,79.019997,81.110001,78.917839,623
11/30/2015,94.989998,94.989998,80.599998,83.220001,80.97081,438
12/1/2015,84.800003,85.449997,82,82,79.783783,324
12/2/2015,84.980003,85,82.550003,82.550003,80.318924,196
12/3/2015,89,89,89,89,86.594597,5
12/4/2015,85.900002,85.900002,79,82.449997,80.221619,10
12/7/2015,94,94,94,94,91.459457,2
12/8/2015,81,81,80,80.160004,77.993515,1004
12/9/2015,80.879997,80.900002,78.75,79,76.864868,541
12/10/2015,79.099998,80.980003,79.019997,80,77.837837,1090
12/11/2015,80,81.849998,80,80,77.837837,858
12/14/2015,79.989998,79.989998,79,79,76.864868,608
12/15/2015,79,79,79,79,76.864868,383
12/16/2015,79.010002,81,79,79.120003,76.981628,1955
12/17/2015,81.739998,81.75,79.550003,79.550003,77.400002,136
12/18/2015,82.5,82.959999,81.5,81.5,79.297302,284
12/21/2015,81,83.300003,79.510002,79.57,77.419464,643
12/22/2015,81.480003,81.650002,79.699997,81.400002,79.200005,179
12/23/2015,81.699997,82.949997,81.099998,82.650002,80.416222,732
12/24/2015,82.480003,82.480003,82.480003,82.480003,80.250816,240
12/28/2015,93.900002,93.900002,85.400002,85.400002,83.091896,100
12/29/2015,83.879997,84.599998,82.5,84.5,82.216217,225
12/30/2015,84.900002,87,81.620003,81.620003,79.414055,874
12/31/2015,83.849998,83.889999,82.010002,82.010002,79.793518,135
1/1/2016,84.5,86.989998,82,82.099998,79.881081,1027
1/4/2016,90,90,84.949997,85,82.702705,15
1/5/2016,84.400002,84.400002,84.400002,84.400002,82.118919,2
1/6/2016,81.449997,81.879997,80.5,80.5,78.324326,91
1/7/2016,79.5,80.300003,77.150002,78.190002,76.076759,3393
1/8/2016,82.800003,82.800003,82.800003,82.800003,80.562164,1
1/11/2016,81.980003,81.980003,79.849998,81.550003,79.345947,2128
1/12/2016,81.989998,84,81.989998,82,79.783783,339
1/13/2016,81,82.800003,80.050003,82.349998,80.124321,599
1/14/2016,81,83.349998,81,83.080002,80.834595,568
1/15/2016,80.5,82,80.5,81.879997,79.667023,656
1/18/2016,80.349998,82.5,80.099998,81.459999,79.258377,409
1/19/2016,83.480003,83.480003,82.650002,83.440002,81.184868,500
1/20/2016,83.440002,86,77.110001,79.839996,77.682159,993
1/21/2016,82.480003,82.480003,79,81.800003,79.589195,602
1/22/2016,81.900002,82.980003,81.739998,82.25,80.027031,471
1/25/2016,84.300003,84.699997,84,84.400002,82.118919,208
1/27/2016,83.900002,84.400002,81,81,78.810814,50321
1/28/2016,84.800003,84.800003,80.5,80.510002,78.334061,611916
1/29/2016,81.849998,81.849998,80.300003,80.699997,78.518921,616152
2/1/2016,82,82,80,80.300003,78.12973,266341
2/2/2016,81.25,81.25,80.099998,81,78.810814,1073
2/3/2016,91.900002,91.900002,90,90,87.567566,10
2/4/2016,80.75,81,80.5,80.5,78.324326,127
2/5/2016,87,87,87,87,84.648651,2
